datum;aum;kunde_id
31.01.2025;1537751.02415613;CH3919929
28.02.2025;1565095.78369206;CH3919929
31.03.2025;1578582.74459501;CH3919929
30.04.2025;1585936.96471868;CH3919929
31.05.2025;1598964.2784472;CH3919929
31.01.2025;101509.80586206;CH5556163
28.02.2025;103373.56415735;CH5556163
31.03.2025;103771.23077908;CH5556163
30.04.2025;104276.11666936;CH5556163
31.05.2025;105289.66104841;CH5556163
31.01.2025;60473.85686775;CH8722897
28.02.2025;61544.34299793;CH8722897
31.03.2025;61891.95500889;CH8722897
30.04.2025;62211.33412748;CH8722897
31.05.2025;62797.98682589;CH8722897
31.01.2025;60815.8507137;CH4757740
28.02.2025;61879.04591771;CH4757740
31.03.2025;62167.31938604;CH4757740
30.04.2025;62478.41258524;CH4757740
31.05.2025;63089.95765466;CH4757740
31.01.2025;102648.48715128;CH3500894
28.02.2025;104524.84128594;CH3500894
31.03.2025;105037.74953292;CH3500894
30.04.2025;105574.78513768;CH3500894
31.05.2025;106614.48684689;CH3500894
31.01.2025;60286.88471004;CH4018926
28.02.2025;61356.14845182;CH4018926
31.03.2025;61709.20413363;CH4018926
30.04.2025;62032.71023152;CH4018926
31.05.2025;62611.43295715;CH4018926
31.01.2025;101549.13277314;CH7144895
28.02.2025;102550.99676287;CH7144895
31.03.2025;101920.87029802;CH7144895
30.04.2025;99653.80398772;CH7144895
31.05.2025;101300.4850152;CH7144895
31.01.2025;101575.19902233;CH5283606
28.02.2025;103440.01080913;CH5283606
31.03.2025;103835.96685098;CH5283606
30.04.2025;104340.97979776;CH5283606
31.05.2025;105355.59616132;CH5283606
31.01.2025;60963.60179163;CH4293539
28.02.2025;61508.41581918;CH4293539
31.03.2025;61161.80136552;CH4293539
30.04.2025;59784.65431832;CH4293539
31.05.2025;60758.09852835;CH4293539
31.01.2025;110145.88335405;CH5850321
28.02.2025;112146.10831072;CH5850321
31.03.2025;112388.17901282;CH5850321
30.04.2025;113028.24023948;CH5850321
31.05.2025;114174.19002137;CH5850321
31.01.2025;60101.84926512;CH6047218
28.02.2025;61170.08292371;CH6047218
31.03.2025;61512.43585285;CH6047218
30.04.2025;61832.96587848;CH6047218
31.05.2025;62410.66219769;CH6047218
31.01.2025;81028.84586208;CH5304648
28.02.2025;82549.60716408;CH5304648
31.03.2025;82766.99846503;CH5304648
30.04.2025;83218.95705604;CH5304648
31.05.2025;84066.01641792;CH5304648
31.01.2025;75332.06339751;CH7073572
28.02.2025;76665.11850807;CH7073572
31.03.2025;77023.25114044;CH7073572
30.04.2025;77451.2083902;CH7073572
31.05.2025;78173.54343408;CH7073572
31.01.2025;60779.87865483;CH6546121
28.02.2025;61855.2115612;CH6546121
31.03.2025;62188.48189123;CH6546121
30.04.2025;62526.52206816;CH6546121
31.05.2025;63129.32174139;CH6546121
31.01.2025;60806.27298105;CH2297373
28.02.2025;61896.4080595;CH2297373
31.03.2025;62233.04171252;CH2297373
30.04.2025;62570.818579;CH2297373
31.05.2025;63161.83431452;CH2297373
31.01.2025;60730.69884972;CH9964377
28.02.2025;61803.60416488;CH9964377
31.03.2025;62138.15143144;CH9964377
30.04.2025;62476.16527488;CH9964377
31.05.2025;63075.70864747;CH9964377
31.01.2025;0.0;CH9121341
28.02.2025;259111.82698239;CH9121341
31.03.2025;260115.82164413;CH9121341
30.04.2025;261478.36270732;CH9121341
31.05.2025;264126.66289724;CH9121341
31.01.2025;60708.99285009;CH5961393
28.02.2025;61771.56244398;CH5961393
31.03.2025;62103.64301321;CH5961393
30.04.2025;62413.7731228;CH5961393
31.05.2025;63024.98603585;CH5961393
31.01.2025;81052.75315275;CH5644497
28.02.2025;82573.05829735;CH5644497
31.03.2025;82776.65116943;CH5644497
30.04.2025;83222.71677432;CH5644497
31.05.2025;84076.06887303;CH5644497
31.01.2025;101208.66289791;CH2414303
28.02.2025;103059.89593541;CH2414303
31.03.2025;103539.06225412;CH2414303
30.04.2025;104057.69088328;CH2414303
31.05.2025;105074.8125696;CH2414303
31.01.2025;60779.87865483;CH7199019
28.02.2025;61855.2115612;CH7199019
31.03.2025;62188.48189123;CH7199019
30.04.2025;62526.52206816;CH7199019
31.05.2025;63129.32174139;CH7199019
31.01.2025;60760.65969075;CH4500142
28.02.2025;61837.14684347;CH4500142
31.03.2025;62172.28213515;CH4500142
30.04.2025;62515.26421484;CH4500142
31.05.2025;63112.46059464;CH4500142
31.01.2025;100991.61348474;CH5699941
28.02.2025;102850.99668925;CH5699941
31.03.2025;103339.08339992;CH5699941
30.04.2025;103839.13728808;CH5699941
31.05.2025;104848.95884707;CH5699941
31.01.2025;61259.74951842;CH3364702
28.02.2025;62341.20250006;CH3364702
31.03.2025;62608.77323129;CH3364702
30.04.2025;62953.73470252;CH3364702
31.05.2025;63556.73842964;CH3364702
31.01.2025;60278.73569994;CH4683284
28.02.2025;61347.95173252;CH4683284
31.03.2025;61695.39656951;CH4683284
30.04.2025;62018.69383136;CH4683284
31.05.2025;62597.34453231;CH4683284
31.01.2025;116751.6085218;CH8421525
28.02.2025;147736.75318546;CH8421525
31.03.2025;146694.83473672;CH8421525
30.04.2025;143460.10294796;CH8421525
31.05.2025;145845.36516482;CH8421525
31.01.2025;61251.00785304;CH4818985
28.02.2025;62345.02408737;CH4818985
31.03.2025;62635.27620011;CH4818985
30.04.2025;62957.30270712;CH4818985
31.05.2025;63557.94815001;CH4818985
31.01.2025;101250.21226629;CH8384627
28.02.2025;103111.78010407;CH8384627
31.03.2025;103609.95717111;CH8384627
30.04.2025;104113.2558982;CH8384627
31.05.2025;105125.2354275;CH8384627
31.01.2025;60980.9475417;CH5767054
28.02.2025;62045.10932171;CH5767054
31.03.2025;62333.01015548;CH5767054
30.04.2025;62646.60938716;CH5767054
31.05.2025;63259.01875274;CH5767054
31.01.2025;59326.910154;CH1731690
28.02.2025;59432.83617098;CH1731690
31.03.2025;59824.58704402;CH1731690
30.04.2025;60117.55447288;CH1731690
31.05.2025;60654.25527535;CH1731690
31.01.2025;59326.910154;CH6640728
28.02.2025;59168.74213317;CH6640728
31.03.2025;56950.96645207;CH6640728
30.04.2025;57700.58815684;CH6640728
31.05.2025;60213.82071126;CH6640728
31.01.2025;101279.50637013;CH2547163
28.02.2025;103142.16119093;CH2547163
31.03.2025;103609.95717111;CH2547163
30.04.2025;104128.1669622;CH2547163
31.05.2025;105151.75292623;CH2547163
31.01.2025;61130.92107693;CH5766279
28.02.2025;62208.3091965;CH5766279
31.03.2025;62473.96062386;CH5766279
30.04.2025;62816.318597;CH5766279
31.05.2025;63420.6074188;CH5766279
31.01.2025;68651.705997;CH5341170
28.02.2025;68390.71134125;CH5341170
31.03.2025;65801.37373538;CH5341170
30.04.2025;66665.33284884;CH5341170
31.05.2025;69612.10614932;CH5341170
31.01.2025;152392.04501325;CH4824605
28.02.2025;153894.06485308;CH4824605
31.03.2025;152968.41061217;CH4824605
30.04.2025;149554.16959868;CH4824605
31.05.2025;152028.86689431;CH4824605
31.01.2025;100707.3717792;CH4489465
28.02.2025;102565.09086203;CH4489465
