changedate;vertriebsweg;eroeffnungsdatum;status;region;berater;vrb_filial_und_betreuernr_an964;kunde_id
01.01.2025;VR-PrivateBanking;23.01.2023;aktiv;Region Nord;Watson, Savana;015500015512;CH3919929
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;000000034003;CH5556163
28.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;004000040400;CH5556163
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;000000014121;CH8722897
18.07.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;005300014121;CH8722897
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000056207;CH4757740
26.11.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Mason, Nicole;062000066002;CH4757740
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Ferguson, Fenton;000000019300;CH3500894
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;000000019300;CH3500894
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000010141;CH4018926
20.10.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000100010141;CH4018926
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Mason, Nicole;000000020010;CH7144895
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Nord;Howard, Byron;000000011003;CH5283606
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Payne, Violet;000000001110;CH4293539
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;000000024008;CH5850321
11.06.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Harrison, Julian;004000024008;CH5850321
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Holmes, Alfred;000000003814;CH6047218
14.07.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Holmes, Alfred;000000027235;CH6047218
26.08.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Spencer, Chloe;000000027235;CH6047218
25.02.2026;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Spencer, Chloe;012500027235;CH6047218
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Mitte;Ferguson, Abigail;000000002554;CH5304648
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Baden-Württemberg;Murphy, John;000000000962;CH7073572
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Ferguson, Fenton;000000011001;CH6546121
01.01.2026;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Tucker, Aiden;000000011001;CH6546121
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Andrews, Elian;000000000536;CH2297373
24.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Holmes, Alfred;000000000536;CH2297373
26.08.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Bayern;Spencer, Chloe;000000000536;CH2297373
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Nord;Baker, Reid;000000002205;CH9964377
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region Nord;Watson, Savana;000000043931;CH9121341
01.01.2025;VR-PrivateBanking;20.12.2024;aktiv;Region West & Lux;Allen, Tess;000000000146;CH5961393
